agency,agency_name
NYC311-PRD,Highway Inspection and Quality Assurance
DPR,Department of Parks and Recreation
DEP,Department of Environmental Protection
OOS,Office of the Sheriff
DCWP,Department of Consumer and Worker Protection
TLC,Taxi and Limousine Commission
HPD,Department of Housing Preservation and Development
DHS,Department of Homeless Services
DOE,Department of Education
DOHMH,Department of Health and Mental Hygiene
DSNY,Department of Sanitation
DOB,Department of Buildings
DOT,Department of Transportation
NYPD,New York City Police Department
